Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
CA-138688,2013-06-13,2013-06-17,Second Class,DV13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,OFFLA10000240,Office Supplies,Labels,Self Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714
CA-115812,2011-09-06,2011-06-14,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,FURFU10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694
CA-115812,2011-09-06,2011-06-14,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,OFFAR10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656
CA-115812,2011-09-06,2011-06-14,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,TECPH10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
CA-115812,2011-09-06,2011-06-14,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,OFFBI10003910,Office Supplies,Binders,DXL Angle View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-115812,2011-09-06,2011-06-14,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,OFFAP10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47
CA-115812,2011-09-06,2011-06-14,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,FURTA10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
CA-115812,2011-09-06,2011-06-14,Standard Class,BH11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,TECPH10002033,Technology,Phones,Konftel 250 Conference phone   Charcoal black,911.424,4,0.2,68.3568
CA-161389,2013-06-12,2013-11-12,Standard Class,IM15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,OFFBI10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
CA-167164,2011-05-13,2011-05-15,Second Class,AG10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,OFFST10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99
CA-143336,2011-08-27,2011-01-09,Second Class,ZD21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,OFFAR10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824
CA-143336,2011-08-27,2011-01-09,Second Class,ZD21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,TECPH10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
CA-143336,2011-08-27,2011-01-09,Second Class,ZD21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,OFFBI10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
CA-106320,2012-09-25,2012-09-30,Standard Class,EB13870,Emily Burns,Consumer,United States,Orem,Utah,84057,FURTA10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649
CA-121755,2013-01-16,2013-01-20,Second Class,EH13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,OFFBI10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
CA-121755,2013-01-16,2013-01-20,Second Class,EH13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,TECAC10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741
CA-101343,2013-07-18,2013-07-23,Standard Class,RA19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,OFFST10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894
CA-135545,2012-11-24,2012-11-30,Standard Class,KM16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,TECAC10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512
CA-135545,2012-11-24,2012-11-30,Standard Class,KM16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,OFFBI10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
CA-135545,2012-11-24,2012-11-30,Standard Class,KM16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,FURFU10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328
CA-106376,2011-05-12,2011-10-12,Standard Class,BS11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,OFFAR10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
CA-106376,2011-05-12,2011-10-12,Standard Class,BS11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,TECPH10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
CA-139451,2011-12-10,2011-10-16,Standard Class,DN13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,OFFAR10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172
CA-139451,2011-12-10,2011-10-16,Standard Class,DN13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,OFFST10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031
CA-109806,2013-09-18,2013-09-23,Standard Class,JS15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,OFFAR10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633
CA-109806,2013-09-18,2013-09-23,Standard Class,JS15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,TECPH10004093,Technology,Phones,Panasonic Kx TS550,73.584,2,0.2,8.2782
CA-109806,2013-09-18,2013-09-23,Standard Class,JS15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,OFFPA10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104
US-109484,2014-07-11,2014-11-13,Standard Class,RB19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,OFFBI10004738,Office Supplies,Binders,Flexible Leather  Look Classic Collection Ring Binder,5.682,1,0.7,3.788
CA-157833,2014-06-18,2014-06-21,First Class,KD16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,OFFBI10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
US-156867,2012-11-13,2012-11-17,Standard Class,LC16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,TECAC10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,26.8758
US-156867,2012-11-13,2012-11-17,Standard Class,LC16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,FURFU10004006,Furniture,Furnishings,"Deflect o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,3.8385
US-156867,2012-11-13,2012-11-17,Standard Class,LC16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,OFFBI10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,25.8174
CA-110457,2012-02-03,2012-06-03,Standard Class,DK13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,FURTA10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813
